,title,price,colour,description,category,brand
1563,printed mini skirt details,59.9,black,high­ waist mini skirt with a gathered detail on the front. invisible side zip fastening.,skirts,zara
1564,voluminous textured dress details,45.9,ecru,short dress with a round neckline and short full sleeves. featuring a buttoned opening in the back.,dresses,zara
1565,cable knit sweater details,69.9,lime,long sleeve knit sweater with a round neckline and ribbed trims. ,outerwear,zara
1566,contrasting text sweatshirt details,49.9,duck blue,round neck sweatshirt with matching long puff sleeves. featuring a slogan detail on the front. ,outerwear,zara
1567,looney tunes © &™ warner bros. t shirt details,39.9,charcoal,short sleeve t shirt with a round neckline. featuring a looney tunes © &™ warner bros. print on the front.,tops,zara
1568,satin jumpsuit details,69.9,red,halterneck playsuit with a darted front and invisible back zip fastening with tie.,dresses,zara
1569,voluminous jacquard dress details,89.9,blue/black,dress featuring a round neck and short puff sleeves with elastic cuffs. concealed in seam side pockets. shimmer thread detail. ruffled hem. buttoned opening at the back.,dresses,zara
1570,full length slim fit jeans details,69.9,black,"high waist jeans with a wide leg and five pocket design, made of shiny effect fabric. featuring seamless hems and a zip fly and metal top button fastening.",jeans,zara
1571,asymmetric top details,89.9,black,top with an asymmetric neckline and hem and lining.,tops,zara
1572,trench coat with belt details,159.0,sea green,"lapel collar trench coat with long sleeves that can be adjusted with sleeve tabs. featuring front welt pockets, a matching fabric belt appliqué, a back vent and a double breasted buttoned front. ",outerwear,zara
1573,t shirt with side frills details,39.9,black,round neck t shirt with short sleeves. featuring ruffle appliqués on the back and sides.,tops,zara
1574,frill neck dress details,59.9,black,"short dress featuring a round neckline with ruffle trims, long sleeves and a buttoned opening at the back.",dresses,zara
1575,colour block sweater details,59.9,only one,long sleeve knit sweater with a round neckline. featuring matching fabric in contrast colours. ,outerwear,zara
1576,the minimal edit,229.0,missing,the minimal edit,dresses,zara
1577,t shirt with rubberised bib details,39.9,white,t shirt with a high neck and short puff sleeves. featuring matching rubberised fabric on the bib. ,tops,zara
1578,round neck sweater details,49.9,blue,long sleeve sweater with a round neckline. ,outerwear,zara
1579,elasticated dress details,49.9,black,"dress with a round neckline, sleeves falling below the elbow and elastic trims.",dresses,zara
1580,blouse with peter pan collar details,59.9,green,long sleeve peter pan collar blouse. featuring elastic waist and front fastening with opening and button. ,tops,zara
1581,polka dot dress details,89.9,navy blue,"v neck long sleeve midi dress with puff shoulders, lining and invisible side zip fastening.",dresses,zara
1582,lace t shirt details,39.9,oyster white,v neck t shirt with long sleeves.,tops,zara
1583,© disney’s cruella t shirt details,39.9,black,short sleeve t shirt with a round neckline. featuring a front print of cruella 101 dalmatians © disney.,tops,zara
1584,corduroy shirt with pockets details,45.9,light beige,"shirt with a lapel collar, long sleeves, front patch pockets and front button fastening.",tops,zara
1585,sequinned wrap top details,45.9,silver,"crop top featuring a surplice neckline, thin straps and wrap fastening with tied detail at the side.",tops,zara
1586,check dress with ruffle trims details,69.9,only one,short dress with a round neckline and long sleeves. featuring ruffle trims on the shoulders and hem and a buttoned opening in the back.,dresses,zara
1587,the simpsons™ sweatshirt details,59.9,black,sweatshirt with a round neckline and long sleeves. featuring a contrast the simpsons tm & © twentieth century fox film corporation print.,outerwear,zara
1588,culottes with belt details,59.9,green / blue,"high waist trousers featuring front pockets, welt pockets at the back, a belt with a metal buckle detail. fastened at the front with a metal lobster clasp, inside button and zip fastening.",bottoms,zara
1589,darted trousers with belt details,69.9,camel,"high waist trousers with front pockets and false welt back pockets. featuring pleated detailing on the front, a contrast belt appliqué, a zip fly, an inside button and metal hook fastening on the front. ",bottoms,zara
1590,flowing dress with pockets details,69.9,black,"flowing dress with a lapel collar and a v neck. features short rolled up sleeves, patch pockets with flaps on the front, side in seam pockets, an elastic waist with a bow and front button fastening.",dresses,zara
1591,t shirt with front print details,24.9,white,short sleeve t shirt with a round neckline and a contrast front print.,tops,zara
1592,glossy top details,24.9,black,v neck crop top with thin straps and a shirred hem.,tops,zara
1593,satin finish trousers details,89.9,olive green,"loose fitting mid waist trousers. front pockets, false welt pockets in the back and belt loops at the waist. metal hook, inside button and zip fastening in the front. ",outerwear,zara
1594,contrast sweatshirt details,49.9,oyster white,round neck sweatshirt with long puff sleeves and elastic cuffs. ,outerwear,zara
1595,t shirt with front print details,29.9,white,short sleeve t shirt with a round neckline and a contrast front print.,tops,zara
1596,jeans z1975 high rise skinny buttons details,49.9,black,"high waist fitted jeans featuring a five pocket design, faded effect and metal button fastening. ",jeans,zara
1597,trench coat with contrast drawstrings details,139.0,mustard,"high neck trench coat with a hood attached by a zip. featuring long sleeves, welt and patch pockets on the front and adjustable contrast drawstrings at the waist. zip up front and snap buttons hidden by a placket.",outerwear,zara
1598,zw premium denim worker jumpsuit details,119.0,dark blue,the worker jumpsuit.,dresses,zara
1599,satin dress details,89.9,green / blue,"flowing v neck dress with long sleeves, lined buttons on the cuffs and an elastic interior waist detail. ",dresses,zara
1600,sequin print t shirt details,39.9,white,short sleeve t shirt with a round neckline. featuring a contrast front print with sequin appliqués. ,tops,zara
1601,contrast frilled dress details,49.9,white,round neck midi dress with drawstring and v neck. featuring short puff sleeves with elasticated cuffs and ruffled appliqué at the waist.,dresses,zara
1602,coat with patch pockets details,259.0,sand/brown,"long sleeve coat with a lapel collar. featuring front patch pockets, side vents at the hem and a matching belt for fastening.",outerwear,zara
1603,women in art collection ©zoe hawk sweatshirt details,59.9,black,"loose fitting sweatshirt with a high neck, long sleeves, ribbed trims and a ©zoe hawk 2019 print.",outerwear,zara
1604,tweed top details,69.9,black,"high neck top with long sleeves, contrast ribbed trims and frayed hem. ",tops,zara
1605,basic cropped trousers details,45.9,black,"mid waist trousers with front pockets and false double welt back pockets. featuring side vents at the hems and metal hook, button and zip fastening in the front.",outerwear,zara
1606,sequinned top details,89.9,beige-pink,crop top with a wide neck and short puff sleeves with elastic cuffs. ,tops,zara
1607,check trousers details,69.9,brown,"high waist trousers with side pockets, false rear welt pockets, front darts and metal hook and zip fly fastening.",bottoms,zara
1608,printed midi skirt details,69.9,multicoloured,flowing a line skirt with in seam side zip fastening. ,skirts,zara
1609,metallic thread dress details,139.0,gold / silver,"long knit dress featuring a v neckline, long sleeves with adjustable tied detail, lining and metallic thread detail.",outerwear,zara
1610,contrast pleated trousers details,69.9,bottle green,"high waist trousers with an elastic waist. featuring side pockets, contrast pleated fabric trims on the leg and zip fly and metal hook fastening at the front.",bottoms,zara
1611,contrast corduroy top details,49.9,black,top with a round neckline and long loose contrast sleeves. featuring a buttoned opening at the back. ,tops,zara
1612,dotted mesh top with lace details,45.9,black,"semi sheer top featuring a high neck, short sleeves with elastic ruffled trim, matching lace trims and a buttoned opening at the back.",tops,zara
1613,ruffled lace top details,59.9,black,semi sheer top with a round neckline and long sleeves with elasticated cuffs. featuring a matching ruffle appliqué detail.,tops,zara
1614,velvet jogging trousers details,59.9,black,high waist trousers with an elastic waist and adjustable drawstrings. featuring front pockets with metal zips and cuffed elastic hems.,bottoms,zara
1615,faded effect floral t shirt details,29.9,anthracite grey,faded effect short sleeve t shirt with a round neckline and a front velvet floral print.,tops,zara
1616,houndstooth blazer details,119.0,black / white,"blazer with a round neckline, long sleeves and defined shoulders. featuring front jetted pockets, front button fastening and a matching covered belt.",outerwear,zara
1617,blouse with back neckline detail details,59.9,maroon,"short blouse featuring a high neck, long sleeves, shoulder pleats and low cut back with tied detail. 
 elastic hem detail and back button fastening.",tops,zara
1618,colour block dress details,45.9,black,"short dress with a round neckline, long sleeves and elastic cuffs.",dresses,zara
1619,knit cropped top details,29.9,stone,knit top with a straight neckline.,outerwear,zara
1620,floral print dress with bows details,69.9,multicoloured,"flowing v neck  short sleeved dress with bows. features off the shoulder detailing, front button fastening. ",dresses,zara
1621,lace wrap top details,49.9,black,semi sheer v neck top with long sleeves. featuring a pleated elasticated waist and interior lining.,tops,zara
1622,barbie ©mattel inc. t shirt details,39.9,white,"short sleeve t shirt with a round neckline and a barbie ©mattel, inc. print. ",tops,zara
1623,oversized wool sweater details,89.9,dark khaki,oversized knit sweater made of a wool blend with a round neckline and long sleeves. ,outerwear,zara
1624,loose fitting textured dress details,45.9,black / white,v neck midi dress with short puff sleeves.,dresses,zara
1625,satin dress with belt details,89.9,black,"flowing dress with a collar, long sleeves, a tie belt in matching fabric and button fastening at the front. ",dresses,zara
1626,cargo trousers with pockets details,59.9,ecru,"high waist trousers with front patch pockets, side and back flap pockets, elastic hems and zip fly and snap button fastening.",jeans,zara
1627,tulle top with rhinestones details,49.9,black,"crop top featuring a straight neckline, sleeves falling below the elbow with elastic trim, rhinestone appliqués and invisible side zip fastening.",tops,zara
1628,ruffled dress with buttons details,69.9,khaki,"mini dress made of a linen blend featuring a collar with v neckline, sleeves falling below the elbow, ruffle trims and front button fastening. ",dresses,zara
1629,cropped faux shearling coat details,119.0,grey,coat with a lapel collar and long sleeves. featuring front patch pockets and contrast button fastening at the front.,outerwear,zara
1630,tailored masculine coat details,229.0,dark mink,"coat featuring a lapel collar, long sleeves and double welt front pockets. double breasted button fastening at the front. made of a wool blend.",outerwear,zara
1631,check tweed jacket details,119.0,black / white,"oversized jacket with a lapel collar and long sleeves. featuring front patch pockets, frayed trims, side vents and snap button fastening in the front. ",tops,zara
1632,asymmetric high neck sweater details,45.9,white,knit sweater with a high neck and asymmetric neckline with a single long sleeve.,outerwear,zara
1633,floral print dress details,89.9,multicoloured,v neck mini dress with short puff sleeves and an a line silhouette.,dresses,zara
1634,mini dress with buttons details,69.9,light camel,"a line dress with a round neckline and short sleeves. featuring in seam side pockets, decorative buttons on the shoulders and a buttoned opening on the back. ",dresses,zara
1635,women in art collection ©zoe hawk t shirt details,39.9,printed,short sleeve t shirt with a round neckline and an ©zoe hawk 2019 print.,tops,zara
1636,oversized t shirt details,24.9,oyster white,"loose fitting t shirt with a round neckline, short sleeves and side vents at the hem.",tops,zara
1637,cropped flare mid rise jeans details,45.9,white,"faded effect mid waist jeans made of slightly stretchy fabric for added comfort. featuring a five pocket design, seamless flared hems and zip fly and metal top button fastening. ",jeans,zara
1638,printed flowing trousers details,45.9,pink / white,high waist trousers with an elastic inner waist and side vents at the hem. ,bottoms,zara
1639,waistcoat with belt details,89.9,sand,sleeveless waistcoat with a lapel collar. front flap pockets and a belt appliqué in the same fabric with a lined buckle. ,outerwear,zara
1640,jacquard skirt details,69.9,oil,a line midi skirt with a front slit at the hem and invisible side zip fastening.,skirts,zara
1641,silver sequinned blazer details,139.0,silver,"long sleeve blazer with a v neckline, pronounced shoulders and interior metal hook fastening. ",outerwear,zara
1642,zw premium quinn pleated straight jeans details,89.9,black,the quinn pleated straight.,jeans,zara
1643,faux fur coat details,119.0,ecru,coat with a high collar and long sleeves. featuring front welt pockets and invisible zip up fastening in the front. ,outerwear,zara
1644,bejewelled asymmetric dress details,69.9,black,"short dress featuring an asymmetric neckline, single long sleeve with ruffle trim on the shoulder, bejewelled detail, side pleats and lining. ",dresses,zara
1645,check pencil skirt details,89.9,orange,high waist skirt with front pockets. featuring a front slit at the hem and zip fly and top button fastening.,skirts,zara
1646,contrasting fabric t shirt details,29.9,white,t shirt with a round neckline and short sleeves. featuring contrast trim. ,tops,zara
1647,check coat details,299.0,black / white,"coat featuring a lapel collar, long sleeves with pronounced shoulders, front flap pockets, chest welt pocket, contrast lining, matching belt appliqué with metal buckle and double breasted button fastening. ",outerwear,zara
1648,gold dotted mesh top details,59.9,black,semi sheer top with a round neck and long kimono sleeves. featuring an elastic waist and a buttoned front fastening.,tops,zara
1649,oversized jacket with hood details,89.9,khaki,"oversized long sleeve jacket with a high neck and adjustable drawstring hood. featuring front flap pockets with snap buttons, an asymmetric adjustable hem with side vents and front snap button fastening. ",outerwear,zara
1650,printed t shirt details,29.9,black,short sleeve t shirt with a round neckline.,tops,zara
1651,dress with short full bodied sleeves details,45.9,black,round neck dress with short puff sleeves. ,dresses,zara
1652,t shirt with organza sleeves details,45.9,oyster white,"round neck t shirt with short, contrast organza sleeves and a slogan detail on the front. ",tops,zara
1653,satin effect dress with embroidery details,89.9,black,v neck midi dress with spaghetti straps. featuring contrast embroidery with sequins. ,dresses,zara
1654,sweater with pearl beads details,69.9,grey,knit sweater with a round neckline and long sleeves. featuring faux pearl appliqués. ,outerwear,zara
1655,t shirt with front print details,14.9,black,short sleeve t shirt with a round neckline and a print on the front.,tops,zara
1656,short contrast jumpsuit details,89.9,black,high neck playsuit with long sleeves. featuring matching guipure trims and invisible zip and button fastening at the back with an opening. ,dresses,zara
1657,fringed dress details,89.9,light petrol blue,mini dress with a high neck and open shoulders. featuring matching fringe trims and a buttoned opening in the back.,dresses,zara
1658,alice in wonderland © disney sweatshirt details,49.9,black,long sleeve sweatshirt with a round neckline. featuring ribbed trims and an alice in wonderland ©disney print.,outerwear,zara
1659,knit sweater with pompoms details,69.9,blue,"sweater with a round neckline, long sleeves and matching pompom trims.",outerwear,zara
1660,jeans zw premium high rise straight details,89.9,blue,the real high rise straight in arctic bleached.,jeans,zara
1661,tweed shorts details,49.9,only one,"high waist shorts with side pockets, false rear welt pockets, tab details and front button fastening.",skirts,zara
1662,printed dress details,89.9,black / white,"round neck dress with long sleeves, defined shoulders and elastic cuffs. featuring a pleated waist detail and a ruffled hem with a slit on the front. invisible zip fastening on the side and button fastening at the back with an opening.",dresses,zara
1663,sequinned top details,69.9,white,"high neck top featuring long puff sleeves, lining and a buttoned opening at the back. ",tops,zara
1664,belted skirt with voluminous hem details,69.9,bluish,mini skirt with a matching lined belt. featuring a voluminous hem and invisible back zip fastening.,skirts,zara
1665,contrasting tweed dress details,69.9,black,short dress with a crossover v neckline and long full sleeves with ruffled cuffs. featuring front patch pockets and invisible zip fastening and a buttoned opening at the back.,dresses,zara
1666,girls print t shirt details,29.9,white,"loose, short sleeve t shirt with a round neckline and a contrasting print detail on the front and back. ",tops,zara
1667,velvet crop top details,45.9,black,v neck crop top. featuring thin metallic straps and elastic detail in the back. ,tops,zara
1668,aladdin © disney t shirt details,39.9,white,short sleeve t shirt with a round neckline. featuring an aladdin © disney print on the front.,tops,zara
1669,high neck satin finish blouse details,49.9,petrol blue,long sleeve blouse with a high neck. featuring a buttoned opening in the back.,tops,zara
1670,reversible water repellent parka details,139.0,black,"reversible water repellent parka on one side and fuzzy on the other. featuring a high collar with adjustable hood, long cuffed sleeves, an adjustable waist with elastic drawstrings and flap pockets with snap buttons and thermal interior lining. ",outerwear,zara
1671,ripped denim mini skirt details,45.9,blue,"faded effect mini skirt with ripped detailing on the front. featuring a five pocket design, a frayed hem and zip fly and metal top button fastening. ",skirts,zara
1672,pleated midi dress details,89.9,khaki,"midi dress with a round neckline, sleeves falling below the elbow with elastic ruffled trims, in seam side pockets, pleated detail, asymmetric hem and a buttoned opening at the back.",dresses,zara
1673,faux leather crop top details,49.9,black,"round neck top with long sleeves, an elastic hem and invisible zip fastening at the back.",tops,zara
1674,full sleeve dress details,69.9,dark bottle green,"a line mini dress featuring a high neck, short puff sleeves and an opening in the back with matching covered button.",dresses,zara
1675,high neck dress details,69.9,sand,"long sleeve mini dress with a high neck. featuring front patch pockets with flaps, side pockets and metal snap button fastening at the front.",dresses,zara
1676,pencil skirt details,69.9,black,high waist midi skirt featuring a front slit at the hem and invisible side zip fastening.,skirts,zara
1677,flared leggings details,45.9,black,mid waist leggings with an elastic waistband. featuring flared hems. ,bottoms,zara
1678,faux suede dress details,69.9,black,short dress with a round neckline. featuring puff sleeves that fall bellow the elbow with pleated cuffs and invisible back zip fastening.,dresses,zara
1679,pleated tunic details,45.9,901,loose tunic with a v neck and long loose sleeves. side vents at the hem. ,tops,zara
1680,lace dress with bow details,179.0,mustard,"dress featuring a high collar with v neckline, long sleeves with pronounced shoulders, lining and invisible side zip fastening. ",dresses,zara
1681,dress with matching pockets details,45.9,mustard,oversized round neck dress with long sleeves and front patch pockets.,dresses,zara
1682,floral print blouse with matching trims details,59.9,multicoloured,long sleeve v neck blouse with matching ruffle trims and a button up front.,tops,zara
1683,fringed coat with belt details,229.0,sand,"coat with a lapel collar and long sleeves. featuring front welt pockets, fringes on the front and a belt appliqué in matching fabric.",outerwear,zara
1684,combined voluminous dress details,89.9,black,round neck midi dress with short puff sleeves. fabric detail with matching appliqué. lined. buttoned opening in the back.,dresses,zara
1685,beaded knit sweater details,69.9,sand,round neck sweater with long sleeves. featuring contrast beading and ribbed trims.,outerwear,zara
1686,sequin print t shirt details,39.9,oyster white,short sleeve t shirt with a round neckline. featuring a contrast front print with sequinned appliqués. ,tops,zara
1687,animal print skirt details,69.9,brown,flowing midi skirt with a combined faux leather waistband. fastening on the side with invisible zip and snap button.,skirts,zara
1688,ribbed knit dress details,89.9,maroon,long knit a line dress featuring a slot collar and long sleeves.,outerwear,zara
1689,striped dress details,89.9,ecru / black,"midi dress featuring a high collar with v neckline, short sleeves, gathered elastic waist, asymmetric hem with side vents and button fastening in the front.",dresses,zara
1690,faux leather jacket details,119.0,black,"jacket with a high neck, hood and long sleeves. featuring an adjustable drawstring hem, front zip pockets and metal zip up fastening at the front.",outerwear,zara
1691,sequinned top with fringing details,49.9,silver,"sleeveless top with a round neckline, sequin appliqués and a fringed hem.",tops,zara
1692,floral print skirt details,69.9,red / white,midi skirt with an elastic waist and gathered seam details. ,skirts,zara
1693,long dotted mesh blouse details,69.9,black,"semi sheer blouse featuring a round neckline with an opening fastened by ties, long sleeves with elastic cuffs, a matching lace chest, ruffle trims in matching fabric and an asymmetric hem. ",tops,zara
1694,authentic denim mom fit bermuda shorts details,45.9,black,"high waist bermuda shorts featuring a five pocket design, turn up hems and zip fly and top button fastening.",skirts,zara
1695,tweed dress with contrast organza details,89.9,black / white,"mini dress with high collar, bow and long sleeves with contrasting organza fabric. a line cut and front button fastening.",dresses,zara
1696,asymmetric printed dress details,89.9,blues,"round neck dress featuring long sleeves with puff shoulders, pleats at the waist, an asymmetric hem and invisible back zip fastening.",dresses,zara
1697,corduroy oversized overshirt with pockets details,69.9,ecru,"collared overshirt with long rolled up sleeves. featuring front welt pockets, chest patch pockets with flaps, frayed hem and button up fastening. ",outerwear,zara
1698,polka dot dress with knot detail details,69.9,petrol blue,mini dress with a shirt collar and long sleeves with elastic cuffs. featuring a knot detail on the front and front button fastening.,dresses,zara
1699,alpaca and wool sweater details,89.9,anthracite grey,knit sweater made of an alpaca and wool blend. featuring high neck and long sleeves.,outerwear,zara
1700,loose fitting pouch pocket sweatshirt details,59.9,black,"loose fitting v neck hoodie with long sleeves, front pouch pocket and adjustable drawstring hem.",outerwear,zara
1701,dress with elastic waist details,45.9,sand,v neck dress with thin straps and elastic on the front.,dresses,zara
1702,bermuda shorts with elastic waist details,89.9,orange,"high waist bermuda shorts with an elastic waist. featuring adjustable drawstrings, side in seam pockets and button fly fastening at the front.",skirts,zara
1703,puffer jacket details,89.9,black,"short water repellent jacket with a high neck and hood. featuring adjustable elastic trim on the sleeves and hem, side pockets and front fastening with thermo sealed zips.",outerwear,zara
1704,houndstooth printed skirt details,69.9,black / white,midi skirt featuring a contrast belt appliqué and invisible side zip fastening.,skirts,zara
1705,pleated shirt with belt details,69.9,oyster white,"collared shirt with long sleeves and puffy shoulders. featuring front patch pockets, a belt in matching fabric with a metal buckle and button fastening at the front.",tops,zara
1706,floral printslit skirt details,69.9,black,flowing skirt with a front slit detail and side zip fastening hidden in the seam. ,skirts,zara
1707,jeans z1975 high rise flare buttons details,69.9,khaki,high rise jeans with front and back patch pockets. featuring flared hems and metal button fastening in the front. ,jeans,zara
1708,contrasting checked top details,49.9,black / white,combined top with a round neckline and long sleeves. featuring contrast fabric detail and a buttoned opening at the back.,tops,zara
1709,double breasted waistcoat details,89.9,strawberry,sleeveless v neck waistcoat. featuring a flared hem and double breasted button fastening in the front.,outerwear,zara
1710,cropped poplin blouse details,69.9,white,collared blouse featuring puff sleeves reaching below the elbow with elastic cuffs and front button fastening.,tops,zara
1711,water resistant trench coat details,179.0,black,"trench coat featuring a high collar with removable hood, long sleeves, front welt pockets, back vent at the hem, removable quilted lining and double breasted button fastening.",outerwear,zara
1712,stretch top details,39.9,black,"long sleeve top with a round neckline. featuring elasticated detailing on the sleeves, puff shoulders and vented cuffs.",tops,zara
1713,sweatshirt with puff ball sleeves details,45.9,black,sweatshirt with a round neckline and long puff sleeves.,outerwear,zara
1714,snakeskin print midi skirt details,59.9,snake,flowing midi skirt with a front slit at the hem and invisible zip fastening on the side.,skirts,zara
1715,floral print mini dress details,69.9,multicoloured,"flowing slot collar dress with an adjustable tie at the neck. featuring long sleeves with elastic cuffs, a gathered seam detail and a ruffled hem. ",dresses,zara
1716,zw premium coal black palazzo jeans details,89.9,grey,high waist palazzo jeans with a five pocket design. featuring a buckle belt and zip fly and top button fastening.,jeans,zara
1717,guipure lace top details,59.9,white,sleeveless round neck top with matching trims and invisible back zip fastening. ,tops,zara
1718,©disney faded mickey mouse t shirt details,39.9,charcoal,short sleeve t shirt with a round neckline. featuring a contrast ©disney mickey mouse print on the front.,tops,zara
1719,flowing halter neck dress details,59.9,black,loose fitting short dress featuring an adjustable tied halter neckline and invisible back zip fastening with tie.,dresses,zara
1720,fringed shirt details,59.9,bottle green,semi sheer collared shirt with long sleeves and matching fringe appliqués. ,tops,zara
1721,jogger waist trousers details,49.9,grey,"mid waist skinny trousers with an elastic waistband in the back. featuring front pockets, false welt back pockets, side vents at the hems and metal hook and zip fastening in the front.",bottoms,zara
1722,fuzzy gilet details,119.0,black,sleeveless gilet with a high neck.,outerwear,zara
1723,shirt with pockets details,69.9,brown,"collared shirt with long sleeves. featuring chest patch pockets with flaps, hem with side vents and a button up front. ",tops,zara
1724,satiny surplice jumpsuit details,89.9,red,"loose fitting jumpsuit with a surplice v neckline and short sleeves. featuring front pockets, an elastic inner waistband, adjustable bows on the hems and a buttoned opening at the back. ",dresses,zara
1725,basic t shirt details,29.9,ecru / marl,long sleeve t shirt with a round neckline.,tops,zara
1726,snakeskin print dress details,89.9,snake,"flowing dress with a halter neckline, lining, an elastic waist, asymmetric ruffled hem and fastening on the back with opening and tied detail. ",dresses,zara
1727,textured knit dress details,69.9,blue grey,long sleeveless dress with a wide neckline.,outerwear,zara
1728,faux leather mini skirt with pockets details,45.9,black,short skirt featuring an elastic waistband and voluminous front pockets.,skirts,zara
1729,dotted mesh blouse details,49.9,marsala,"blouse featuring a round neckline, long sleeves, puff shoulders and a buttoned opening in the back.",tops,zara
1730,slim fit hi rise jeans with rips details,59.9,blue,"faded hi rise jeans in slightly stretchy fabric for added comfort. featuring a five pocket design, seamless hems, rips on the front and zip fly and metal top button fastening.",jeans,zara
1731,belted puffer jacket details,139.0,khaki,"high neck jacket with a hood, detachable faux fur appliqué and faux fur interior lining. featuring long sleeves with zips, front zip pockets and a matching belt appliqué. metal zip up front. ",outerwear,zara
1732,cropped jacket with shoulder pads details,69.9,blue,"cropped denim collared jacket with long sleeves, shoulder pads and metal button fastening in the front.",outerwear,zara
1733,slogan t shirt details,39.9,black,short sleeve t shirt with a matching high neck. featuring a contrast slogan print detail on the front. ,tops,zara
1734,jeans zw premium marine straight details,69.9,black,the marine straight in aged stone.,jeans,zara
1735,frock coat with pockets details,119.0,grey marl,long sleeve frock coat with a round neckline. featuring front patch pockets and metal zip fastening at the front. ,outerwear,zara
1736,easy pyjama pinstripe trousers details,69.9,dark grey,high waist trousers with an elastic waistband. featuring a five pocket design and matching fabric drawstrings at the front. ,bottoms,zara
1737,faux leather jacket details,89.9,black,"collared jacket with long sleeves. featuring front pockets with metal zip, belt in matching fabric with buckle and metal zip up fastening in the front. ",outerwear,zara
1738,dress with pleated skirt details,69.9,navy blue,"high neck mini dress with short sleeves and pleated hem. fastening at the back with opening, button and bow.",dresses,zara
1739,turtleneck neck top details,29.9,burgundy,short sleeveless knit top with a turtleneck. ,outerwear,zara
1740,©disney’s mickey mouse hoodie details,59.9,white,sweatshirt with a round neckline and long sleeves. featuring a combined poplin collar and front print of mickey mouse ©disney.,outerwear,zara
1741,top with bell sleeves details,45.9,white,knit top with a round neckline and long bell sleeves.,outerwear,zara
1742,satin skirt details,69.9,brown,flowing a line high waist satin skirt with invisible zip fastening in the back. ,skirts,zara
1743,darted trousers details,69.9,camel,"flowing mid waist trousers with front pockets, back patch pockets, front darts and zip fly and top button fastening. ",outerwear,zara
1744,textured blazer details,119.0,black / ecru,"blazer with a v neckline, long sleeves, front patch pockets, frayed trims and double breasted button fastening at the front. ",outerwear,zara
1745,long shimmery skirt details,69.9,copper,skirt with an elastic waistband.,skirts,zara
1746,ribbed sweater with buttons details,45.9,camel,"knit sweater with a round neckline, long sleeves and decorative metal buttons on the front. ",outerwear,zara
1747,t shirt with front print details,24.9,white,short sleeve t shirt with a round neckline and front print.,tops,zara
1748,pleated skirt details,59.9,purple,pleated midi skirt with an elastic inner waistband. ,skirts,zara
1749,checked leggings details,45.9,grey,high waist leggings with an elastic waistband. ,bottoms,zara
1750,houndstooth bermuda shorts details,59.9,camel,"long high waist bermuda shorts with front pleats, front pockets and false rear welt pockets. front fastening with metal hook, inside button and zip.",outerwear,zara
1751,floral print blouse details,59.9,red / black,"long sleeve blouse with a round neckline. featuring pleats on the front, a flared hem, invisible side zip fastening on the seam and button fastening in the back.",tops,zara
1752,camouflage cargo trousers details,69.9,dark khaki,"high waist trousers with an elastic waist, side pockets, false rear welt pockets, patch pockets with flaps on the legs, cuffed elastic hems, a stretch belt and zip fly and metal hook fastening.",bottoms,zara
1753,soft touch belted dress details,49.9,green marl,long sleeve dress with a high neck. featuring a belt appliqué in matching fabric. ,dresses,zara
1754,pyjama trousers details,69.9,ecru,flowing high waist trousers with an elastic waist. they feature side pockets and false welt pockets in the back. zip and metal hook fastening in the front.,bottoms,zara
1755,‘80s arizona blue shorts details,69.9,light blue,the ‘80s shorts in arizona blue.,skirts,zara
1756,printed shirt with tied detail details,49.9,black,loose fitting collared shirt featuring long sleeves and a button up front with tied detail.,tops,zara
1757,long sleeve top with tulle details,24.9,black,semi sheer round neck t shirt with long sleeves. ,tops,zara
1758,denim vest details,59.9,blue,short sleeveless waistcoat with a collar. featuring front patch pockets with flaps and metal button fastening at the front. ,outerwear,zara
1759,crochet dress with gem details,299.0,matte silver,"semi sheer dress with a round neckline, thin straps and gem appliqué.",dresses,zara
1760,dotted mesh playsuit with gem buttons details,89.9,black,"playsuit in a flowing fabric with a matching lapel collar and long sleeves. featuring interior lining, pleated detailing on the front, pintucks on the chest with decorative gem buttons and invisible zip fastening at the back. ",dresses,zara
1761,dress with jewel buttons details,45.9,black,short v neck dress with wide straps. featuring false flap pockets and gem detail buttons on the front.,dresses,zara
1762,floral print top details,59.9,multicoloured,high neck top with frill and a drawstring. v neck and sleeves to below the elbow. elastic waist. flared hem.,tops,zara
1763,dress with button details details,39.9,green,"loose fitting short sleeve dress with a round neckline, an asymmetric hem and button details on the sleeves. ",dresses,zara
1764,coat with faux fur hood details,89.9,grey,"coat with a high collar and long sleeves. featuring a detachable hood with fuzzy trim attached by snap buttons, front welt pockets and zip and button fastening on the front.",outerwear,zara
1765,faded effect slogan sweatshirt details,45.9,charcoal,long sleeve sweatshirt with a round neckline. featuring slogan detail on the front and ribbed trims. ,outerwear,zara
1766,floral print dress details,89.9,multicoloured,"dress with an elastic straight neckline, short cape sleeves, an elastic waist, lining appliqué and side vents at the hem. ",dresses,zara
1767,slip dress with straps details,59.9,black,dress featuring a flowing neckline and thin straps. ,dresses,zara
1768,iridescent effect jacket details,59.9,only one,"cropped water resistant jacket featuring an adjustable high neck with drawstring, long sleeves with elastic cuffs, front patch pockets with flap, an adjustable drawstring hem and zip up fastening.",outerwear,zara
1769,flowing frock coat with pockets details,89.9,khaki,frock coat with draped lapel and long rolled up sleeves with metal ring. featuring adjustable belt and front welt pockets.,outerwear,zara
